query,label
"What is the punishment for theft under IPC?",criminal
"How do I file a civil suit for breach of contract?",civil
"Can the Supreme Court review a constitutional amendment?",constitutional
"Is cheating a criminal offence under IPC?",criminal
"What is the procedure for eviction in civil court?",civil
"What rights does the Constitution guarantee?",constitutional
"How much jail term for criminal trespass?",criminal
"How to claim damages in a civil trial?",civil
"Which articles cover fundamental rights?",constitutional
"Can a magistrate issue anticipatory bail?",criminal
